id,sku,name,img_link,description,price,active
2212,5414453059044_5904_1545,laurus nobilis,http://www.peplan.com/foto/pa/5904.jpg,1/2 tige - diam. 65,100.0000,1
2220,5414453112336_11233_1545,laurus nobilis,http://www.peplan.com/foto/pa/11233.jpg,3/4 tige - diam. 50,67.5000,1
2221,5414453155746_15574_1545,laurus nobilis,http://www.peplan.com/foto/pa/15574.jpg,boule - diam. 45 cm,37.5000,1
2223,5414453030258_3025_1545,laurus nobilis,http://www.peplan.com/foto/pa/3025.jpg,pyramide (cône) ht  70 cm,18.0000,1
2240,5414453050843_5084_1322,cotoneaster,http://www.peplan.com/foto/pa/5084.jpg,horizontalis (sans chromo),0.5500,1
2245,5414453101507_10150_1322,euonymus,http://www.peplan.com/foto/pa/10150.jpg,fortunei minimus (usage couvre-sol),0.5500,1
2251,5414453151328_15132_1322,hedera,http://www.peplan.com/foto/pa/15132.jpg,helix sagittifolia 3 br.(couvre-sol),0.4500,1
2253,5414453014005_1400_1322,hedera,http://www.peplan.com/foto/pa/1400.jpg,hibernica,1.1000,1
2254,5414453118451_11845_1322,lonicera,NULL,nitida elegant (sans chromo),0.5500,1
2256,5414453014104_1410_1322,lonicera,NULL,pileata (sans chromo),0.5500,1
2257,5414453086491_8649_1322,lonicera,http://www.peplan.com/foto/pa/8649.jpg,pileata,0.9500,1
2258,5414453014135_1413_1322,pachysandra,http://www.peplan.com/foto/pa/1413.jpg,term. green carpet (sans chromo),0.5500,1
2259,5414453104799_10479_1322,pachysandra,http://www.peplan.com/foto/pa/10479.jpg,term. variegata (sans chromo),0.6000,1
2262,5414453074054_7405_1322,rubus,http://www.peplan.com/foto/pa/7405.jpg,tricolor - mûron couvresol (sans chromo),0.6000,1
2264,5414453032863_3286_1322,symphoricarpos,http://www.peplan.com/foto/pa/3286.jpg,chen. hancock (sans chromo),0.5500,1
2266,5414453168777_16877_1322,vinca,http://www.peplan.com/foto/pa/16877.jpg,major variegata (sans chromo),0.5500,1
2267,5414453158044_15804_1322,vinca,http://www.peplan.com/foto/pa/15804.jpg,minor gertrude jekyll (sans chromo),0.5500,1
2268,5414453014203_1420_1322,waldsteinia,NULL,ternata (sans chromo),0.5500,1
2269,5414453108360_10836_1469,cyrtomium,http://www.peplan.com/foto/pa/10836.jpg,falcatum,0.7500,1
2345,5414453068961_6896_1469,blechnum,http://www.peplan.com/foto/pa/6896.jpg,gibbum,0.7500,1
2352,5414453053479_5347_1469,didymochlaena,http://www.peplan.com/foto/pa/5347.jpg,truncatula,0.7500,1
2378,5414453040196_4019_1024,nephrolepis,http://www.peplan.com/foto/pa/4019.jpg,boston,1.4500,1
2387,5414453033778_3377_1032,schefflera,http://www.peplan.com/foto/pa/3377.jpg,moondrop,1.0000,1
2397,5414453060491_6049_1136,aloe,http://www.peplan.com/foto/pa/6049.jpg,peglare,1.9310,1
2401,5414453080659_8065_1136,crassula,http://www.peplan.com/foto/pa/8065.jpg,horntree,1.2730,1
62915,5404008206047_32213_1152,crataegus,http://www.peplan.com/foto/pa/32213.jpg,"media pauls scarlet co 7,5l 80-100 cm",12.7500,1
2402,5414453029535_2953_1136,crassula,http://www.peplan.com/foto/pa/2953.jpg,horntree,1.6550,1
2403,5414453102009_10200_1136,crassula,http://www.peplan.com/foto/pa/10200.jpg,horntree,2.5120,1
2404,5414453096285_9628_1136,crassula,http://www.peplan.com/foto/pa/9628.jpg,port. summerset,1.2730,1
2405,5414453102023_10202_1136,crassula,http://www.peplan.com/foto/pa/10202.jpg,port. summerset,1.6550,1
2408,5414453029689_2968_1136,echeveria,http://www.peplan.com/foto/pa/2968.jpg,pearl von nurnberg,1.2740,1
2410,5414453073118_7311_1136,echeveria,http://www.peplan.com/foto/pa/7311.jpg,pink edge,1.6490,1
2412,5414453236926_23692_1136,echeveria,http://www.peplan.com/foto/pa/23692.jpg,red tip,0.7880,1
2431,5414453173825_17382_1086,camellia,http://www.peplan.com/foto/pa/17382.jpg,sasanqua,7.0000,1
2432,5414453153124_15312_1322,chamaecyparis,http://www.peplan.com/foto/pa/15312.jpg,empire,0.5200,1
2438,5414453038964_3896_1583,coniferes mixt,http://www.peplan.com/foto/pa/3896.jpg,rocaille c3,3.4100,1
2449,5414453053998_5399_1363,euonymus,http://www.peplan.com/foto/pa/5399.jpg,plaque mixte,1.4500,1
2460,5414453179902_17990_1046,heuchera,http://www.peplan.com/foto/pa/17990.jpg,étage mix - rouge + vert,0.6500,1
66384,5404008228926_37038_1152,cornus,http://www.peplan.com/foto/pa/37038.jpg,"sericea flaviramea co 3,6l 60-80 cm",4.1700,1
66383,8719075294017_15090_1583,cornus,http://www.peplan.com/foto/pa/15090.jpg,sanguinea winter beauty,8.8600,1
2491,5414453166971_16697_1322,acanthus,http://www.peplan.com/foto/pa/16697.jpg,mollis (sans chromo),0.8000,1
2492,5414453177144_17714_1322,achillea,NULL,filipendulina cloth of gold (sans chromo),0.5000,1
2497,5414453098333_9833_1600,azalea mollis,http://www.peplan.com/foto/pa/9833.jpg,knaphill Ø 40/60+ - c5,6.1000,1
2498,5414453015675_1567_1600,rhododendron hybride,http://www.peplan.com/foto/pa/1567.jpg,30/+  - c3,3.9700,1
2502,5414453182353_18235_1046,graminees ornementales,http://www.peplan.com/foto/pa/18235.jpg,plaque mixte,0.8300,1
2504,5414453156811_15681_1322,stipa,NULL,tenuissima pony tails (sans chromo),0.5500,1
